loan_amnt,term,int_rate,annual_inc,dti,fico_avg,emp_length,revol_util,delinq_2yrs,open_acc,pub_rec,PD,LGD,EAD,Expected_Loss,grade,vintage_year,actual_default
11500,60,14.33,43500,19.1,707,10,66.7,0,7,0,0.277850478,0.45,11500,1437.876222,C,2015,0
16000,60,10.64,60000,18.31,712,8,34.5,0,6,0,0.198452134,0.45,16000,1428.855365,B,2015,1
28000,36,12.05,109200,17.87,667,6,50.6,1,16,1,0.191140657,0.45,28000,2408.372273,C,2015,1
10500,60,12.59,48000,24.9,767,8,4.9,0,8,0,0.203291163,0.45,10500,960.5507433,C,2015,0
16000,60,11.22,72000,17.83,667,5,50.5,0,11,2,0.28080491,0.45,16000,2021.795352,B,2015,1
10000,36,8.38,74400,28.27,702,10,48.9,3,13,0,0.107530275,0.45,10000,483.8862389,B,2015,0
6000,36,10.99,43000,16.36,697,4,45.4,0,5,0,0.121596678,0.45,6000,328.3110308,B,2015,0
10000,36,6.24,80000,22.25,782,0,22.3,0,18,0,0.051764392,0.45,10000,232.9397639,A,2015,0
10200,36,5.32,30000,23.32,752,2,21.8,0,9,0,0.053732751,0.45,10200,246.6333252,A,2015,0
7500,36,9.17,70000,22.53,667,10,31.8,0,13,1,0.140407601,0.45,7500,473.8756536,B,2015,0
14000,36,11.22,58000,24.89,687,10,77.5,1,13,0,0.149348118,0.45,14000,940.8931464,B,2015,0
20000,36,9.17,90000,17.88,777,10,10.5,0,10,0,0.063049485,0.45,20000,567.4453651,B,2015,0
8000,36,13.67,48000,11.48,687,8,100.2,0,6,0,0.142324892,0.45,8000,512.3696113,C,2015,0
20000,60,16.55,69600,32.68,662,1,74.1,0,16,0,0.526757108,0.45,20000,4740.813969,D,2015,1
9600,36,9.17,31000,18.97,662,0,54,1,10,0,0.142600414,0.45,9600,616.0337901,B,2015,1
12000,36,5.32,165000,10.51,727,0,11.6,1,18,0,0.0557293,0.45,12000,300.9382217,A,2015,0
20000,60,18.99,150500,13.07,712,7,48.2,1,15,1,0.410015381,0.45,20000,3690.138431,E,2015,0
1375,36,10.64,24000,25.65,717,10,29.2,0,7,0,0.118131555,0.45,1375,73.09389969,B,2015,0
16000,60,13.67,45000,28.45,677,4,55.1,0,19,0,0.402638045,0.45,16000,2898.993924,C,2015,1
6000,36,6.89,45000,18.04,767,0,12.9,0,8,0,0.053691911,0.45,6000,144.9681605,A,2015,0
35000,36,9.76,109000,28.99,717,9,68.7,0,14,0,0.117786208,0.45,35000,1855.132772,B,2015,0
8400,36,8.38,80000,7.37,692,10,26.7,1,6,0,0.079763976,0.45,8400,301.507828,B,2015,0
3200,36,14.85,87000,24.69,667,5,87.1,0,12,0,0.236928964,0.45,3200,341.1777087,C,2015,0
15000,36,5.32,44000,15.34,687,10,50.3,0,7,0,0.064943095,0.45,15000,438.3658914,A,2015,0
12000,36,8.18,60000,32.28,672,10,48.7,0,16,1,0.142676307,0.45,12000,770.4520564,B,2015,0
14000,36,9.8,50000,9.46,667,8,75.7,3,13,0,0.119239943,0.45,14000,751.2116421,B,2015,0
25200,36,12.59,106000,22.57,677,3,63.9,0,14,0,0.196306188,0.45,25200,2226.112174,C,2015,0
7800,36,11.99,50000,19.11,702,10,63.2,0,7,0,0.128542078,0.45,7800,451.1826923,C,2015,0
9600,36,11.99,50000,10.49,702,10,37.9,0,13,1,0.128254643,0.45,9600,554.060059,C,2015,0
1000,36,11.99,40000,22.05,682,10,58.2,2,5,0,0.150353773,0.45,1000,67.65919767,C,2015,0
35000,36,12.59,125000,17.89,667,0,91.7,1,12,0,0.188955576,0.45,35000,2976.050316,C,2015,1
7000,36,9.76,75000,7.1,677,10,43.2,0,6,1,0.09961603,0.45,7000,313.7904932,B,2015,1
10000,36,6.89,77000,27.2,722,10,45.1,1,10,0,0.074478412,0.45,10000,335.1528552,A,2015,0
35000,36,13.67,134000,14.02,672,10,67.9,0,18,1,0.199484291,0.45,35000,3141.87759,C,2015,0
5000,36,9.99,40000,19.35,682,5,25.5,0,9,1,0.135850623,0.45,5000,305.6639008,B,2015,1
5000,36,8.49,90000,15.53,672,1,27.2,0,12,1,0.119128145,0.45,5000,268.0383272,B,2015,0
25000,36,5.32,145000,15.81,742,0,37.8,0,13,0,0.050890277,0.45,25000,572.515619,A,2015,0
35000,60,18.99,90000,10.84,752,9,7,0,45,0,0.463027515,0.45,35000,7292.683359,E,2015,0
4000,36,12.05,56480,9.2,672,5,3.6,0,5,2,0.155644451,0.45,4000,280.1600127,C,2015,0
7200,36,10.64,85000,9.85,662,2,33.4,0,8,1,0.141271357,0.45,7200,457.7191974,B,2015,1
20000,36,6.49,145000,7.37,742,10,22.7,1,23,0,0.054033,0.45,20000,486.2969981,A,2015,0
4325,36,10.64,161000,12.04,712,9,80.8,0,10,0,0.0843925,0.45,4325,164.248903,B,2015,0
18425,60,11.99,80000,11.93,682,10,49,0,10,0,0.248131427,0.45,18425,2057.31969,C,2015,1
25000,60,13.18,100000,37.42,707,10,71.1,0,26,0,0.364703433,0.45,25000,4102.913621,C,2015,0
5725,36,13.67,30000,8.27,697,3,48,0,8,0,0.152123724,0.45,5725,391.9087442,C,2015,0
6000,36,10.99,65000,22.34,697,8,51.5,0,15,0,0.1396821,0.45,6000,377.1416699,B,2015,0
10000,36,5.32,120000,15.5,727,5,44.9,0,11,0,0.050205305,0.45,10000,225.9238731,A,2015,0
13450,36,10.64,130000,6.1,682,1,19,0,3,0,0.113834077,0.45,13450,688.9807493,B,2015,0
20000,36,6.89,110000,10.88,717,1,69,0,6,0,0.058361153,0.45,20000,525.250375,A,2015,0
2800,36,9.17,52000,3.76,712,3,15.9,7,11,0,0.084255093,0.45,2800,106.1614172,B,2015,0
20925,36,12.59,70000,24.21,767,10,11.9,0,18,0,0.124487046,0.45,20925,1172.201148,C,2015,0
21000,36,9.17,55000,21.71,682,10,79.5,0,9,1,0.113583912,0.45,21000,1073.367968,B,2015,0
12000,60,16.99,45000,37.34,702,8,63,0,14,0,0.46535502,0.45,12000,2512.917106,D,2015,0
15000,60,15.41,152000,20.23,692,2,35,0,7,0,0.355977382,0.45,15000,2402.847329,D,2015,1
6025,36,11.99,34000,17.9,692,3,23.6,0,10,0,0.16156904,0.45,6025,438.0540606,C,2015,0
20000,36,13.67,50000,22.8,722,10,34.6,0,25,0,0.191202686,0.45,20000,1720.82417,C,2015,1
33000,36,6.89,70000,16.27,702,5,46.9,0,7,0,0.078539356,0.45,33000,1166.309432,A,2015,0
24000,36,6.24,118000,25.97,687,3,37.7,0,24,0,0.111479581,0.45,24000,1203.979477,A,2015,0
12000,60,13.67,29981,20.86,702,10,69.4,0,8,0,0.278065128,0.45,12000,1501.551693,C,2015,0
6000,36,6.89,85000,13.13,747,10,37.6,0,11,0,0.04984285,0.45,6000,134.575695,A,2015,0
5000,36,10.64,60000,30.14,672,10,46.7,1,17,0,0.180458476,0.45,5000,406.0315717,B,2015,0
12000,60,16.55,75000,16.98,662,10,19.5,0,23,1,0.486602806,0.45,12000,2627.65515,D,2015,0
22000,60,9.17,52000,30.56,722,10,62.4,0,15,0,0.197382655,0.45,22000,1954.088288,B,2015,0
9000,36,7.89,50000,26.81,687,0,72.1,0,7,0,0.106828418,0.45,9000,432.6550936,A,2015,0
10000,60,11.48,55000,24.61,677,1,56,0,5,2,0.283151722,0.45,10000,1274.18275,B,2015,0
13375,36,11.99,91000,11.38,667,4,49,2,15,0,0.169820621,0.45,13375,1022.107861,C,2015,1
13650,36,12.59,45000,34.29,692,10,37.5,0,5,0,0.192861791,0.45,13650,1184.653548,C,2015,0
35000,36,10.64,125000,25.42,717,2,44.2,0,11,0,0.132111455,0.45,35000,2080.755413,B,2015,1
20000,36,7.49,51136,38.63,717,6,61,0,9,0,0.102579988,0.45,20000,923.2198886,A,2015,0
15000,60,18.2,51640,19.38,677,10,106.4,0,8,0,0.426610759,0.45,15000,2879.622623,E,2015,0
5600,36,11.49,31460,16.75,682,8,67.1,0,4,0,0.131562594,0.45,5600,331.5377375,B,2015,0
25000,36,7.26,135000,17.06,702,10,61,0,19,0,0.082385387,0.45,25000,926.8356083,A,2015,0
20000,36,8.38,90000,16.48,677,10,42,0,16,0,0.11371032,0.45,20000,1023.392877,B,2015,0
12000,60,17.97,71400,37.48,667,2,89.3,0,20,0,0.576339854,0.45,12000,3112.235213,D,2015,0
12350,36,13.18,28818,18.31,697,5,59.7,0,3,0,0.154984179,0.45,12350,861.3245737,C,2015,1
8000,36,12.59,155000,28.79,682,10,73.9,0,24,0,0.196898621,0.45,8000,708.8350364,C,2015,0
10000,36,13.67,65000,16.21,672,5,44.2,0,11,0,0.202693855,0.45,10000,912.1223461,C,2015,0
12000,60,12.59,72000,17.43,677,0,72.2,0,25,0,0.333981051,0.45,12000,1803.497673,C,2015,1
11625,36,17.57,60000,23.48,667,2,58,1,10,0,0.330680215,0.45,11625,1729.870877,D,2015,0
20000,60,23.13,65000,33.77,672,10,36.5,0,12,0,0.70469696,0.45,20000,6342.27264,F,2015,1
15625,60,23.99,46000,22.46,662,0,37.5,0,24,0,0.751432662,0.45,15625,5283.510906,F,2015,0
15000,36,17.57,52000,20.18,662,9,41.5,0,6,0,0.314011574,0.45,15000,2119.578121,D,2015,0
28000,60,18.99,68000,32.55,662,3,36.1,0,18,1,0.63533986,0.45,28000,8005.282242,E,2015,1
11000,36,9.17,52000,28.64,717,2,48.7,0,14,0,0.116789718,0.45,11000,578.1091061,B,2015,0
12600,36,10.64,58000,13.78,682,1,56.9,1,4,0,0.1246074,0.45,12600,706.5239605,B,2015,0
35000,36,7.91,165000,18.89,712,4,50,0,21,1,0.095317821,0.45,35000,1501.255678,A,2015,0
12000,36,13.44,75000,15.09,672,2,54.4,0,13,0,0.199111789,0.45,12000,1075.203661,C,2015,0
6425,36,13.18,112000,5.73,667,10,87.5,0,4,0,0.133586932,0.45,6425,386.2332164,C,2015,0
7200,36,6.24,60000,14.18,707,6,53.2,0,9,0,0.062513674,0.45,7200,202.5443026,A,2015,0
30000,60,10.64,319259,14.18,717,7,41.2,0,15,0,0.175486293,0.45,30000,2369.064959,B,2015,0
28000,60,27.31,70000,30.79,677,10,75.7,0,15,0,0.783612491,0.45,28000,9873.51739,G,2015,1
15000,36,8.38,80000,24.9,742,10,22.6,0,11,2,0.080156539,0.45,15000,541.0566386,B,2015,0
18000,36,9.17,85000,29.14,752,0,17.3,0,26,0,0.115506054,0.45,18000,935.5990334,B,2015,0
5000,36,7.26,30000,26.48,722,10,13,1,15,0,0.08939659,0.45,5000,201.1423266,A,2015,0
15000,36,13.67,70000,15.14,702,10,50.3,0,8,0,0.153547396,0.45,15000,1036.44492,C,2015,0
2800,36,16.99,50000,35.77,687,0,19.5,1,14,0,0.358648528,0.45,2800,451.8971455,D,2015,0
5400,36,6.49,90000,29.69,692,4,84,0,8,0,0.083634503,0.45,5400,203.2318419,A,2015,0
7600,36,9.17,44000,20.24,707,10,88.6,0,8,0,0.087151915,0.45,7600,298.0595479,B,2015,0
30000,60,13.67,137057,31.94,682,10,59.3,0,15,0,0.375110281,0.45,30000,5063.988793,C,2015,0
8000,36,8.38,30000,26.2,732,10,20.4,0,18,0,0.097033835,0.45,8000,349.3218072,B,2015,1
12000,60,19.99,80000,19.52,667,3,65.3,0,23,0,0.585435014,0.45,12000,3161.349074,E,2015,0
7000,36,13.67,34000,36.96,672,4,27.7,0,12,0,0.281796427,0.45,7000,887.6587453,C,2015,0
8000,36,11.22,40000,14.78,667,0,62.3,0,5,0,0.149597194,0.45,8000,538.549899,B,2015,0
12000,36,8.38,62000,11.61,672,10,90.8,0,8,0,0.088526035,0.45,12000,478.0405895,B,2015,0
25000,36,7.26,133000,6.14,727,8,46.1,0,10,0,0.054788788,0.45,25000,616.3738654,A,2015,0
24000,60,13.18,80000,21.36,712,9,47,0,13,0,0.278503822,0.45,24000,3007.841281,C,2015,1
24800,36,11.99,900000,9.83,667,10,77.6,1,13,0,0.087257039,0.45,24800,973.7885503,C,2015,0
24000,36,9.17,180000,10.1,662,5,82.3,0,7,1,0.102543854,0.45,24000,1107.473624,B,2015,0
16625,36,20.5,79632,20.6,672,10,70.1,1,6,0,0.362335388,0.45,16625,2710.721619,E,2015,1
15000,60,19.99,64000,24.51,707,10,13.5,0,14,1,0.523753646,0.45,15000,3535.337109,E,2015,1
23900,60,20.99,150000,19.66,677,10,69.4,1,12,0,0.544244218,0.45,23900,5853.346561,E,2015,0
12000,36,8.49,65000,32.77,687,10,68,0,24,0,0.140433592,0.45,12000,758.3413978,B,2015,1
6000,36,9.76,50000,16.06,662,10,68,0,11,1,0.128364321,0.45,6000,346.5836668,B,2015,0
28000,36,5.32,134000,20.35,762,8,6.3,0,22,2,0.053806779,0.45,28000,677.9654123,A,2015,0
22000,36,8.49,94000,7.66,692,2,45.3,0,3,0,0.083092434,0.45,22000,822.6150937,B,2015,0
10000,36,9.99,60000,9.92,722,1,75.3,0,7,0,0.080603657,0.45,10000,362.716455,B,2015,0
35000,36,9.17,105000,25.07,692,1,85,0,11,0,0.122900903,0.45,35000,1935.689218,B,2015,0
13225,60,25.09,45000,22.21,667,4,45.2,0,15,0,0.736435899,0.45,13225,4382.714142,F,2015,1
19625,36,7.89,95000,19.33,772,7,45.1,0,9,0,0.053163844,0.45,19625,469.5031961,A,2015,0
30000,60,13.18,99000,19.15,702,2,41.2,1,16,0,0.313475081,0.45,30000,4231.913588,C,2015,0
20000,36,5.32,78000,15.21,772,10,6.5,0,9,0,0.039152176,0.45,20000,352.3695865,A,2015,0
10000,36,11.22,48000,9.83,662,2,33,0,15,0,0.167929771,0.45,10000,755.6839698,B,2015,0
20000,36,11.99,60000,20.36,662,10,61.9,1,11,0,0.184166,0.45,20000,1657.493997,C,2015,0
8000,36,5.32,75420,32.01,712,10,32,0,27,0,0.089130774,0.45,8000,320.8707875,A,2015,0
10000,36,9.99,27940,22.16,687,10,60,0,7,0,0.122140281,0.45,10000,549.6312657,B,2015,1
8000,36,7.49,57000,25.01,742,10,41.1,0,19,0,0.075469125,0.45,8000,271.6888493,A,2015,0
3500,36,12.59,26500,5.07,677,7,46.4,0,4,1,0.135997725,0.45,3500,214.1964173,C,2015,0
10000,36,9.17,73000,11.36,687,3,44.5,0,5,0,0.098015182,0.45,10000,441.0683204,B,2015,0
15000,60,10.64,72000,20.99,742,0,34,1,19,0,0.205471161,0.45,15000,1386.930335,B,2015,0
10000,36,12.59,55000,33.65,662,0,35.7,1,21,1,0.283262906,0.45,10000,1274.683077,C,2015,0
7200,36,7.26,86500,13.36,682,2,71.8,0,8,0,0.080330841,0.45,7200,260.2719251,A,2015,0
23000,36,6.24,120000,11.77,697,10,44,0,25,0,0.077855971,0.45,23000,805.8092964,A,2015,0
16000,36,7.26,85000,12.62,722,3,28.7,2,15,0,0.073547421,0.45,16000,529.5414304,A,2015,0
20000,36,13.44,65000,25.99,707,4,39.1,0,23,0,0.215374972,0.45,20000,1938.37475,C,2015,0
16000,60,13.44,106000,9.94,682,9,55.5,0,12,0,0.275947503,0.45,16000,1986.822018,C,2015,0
35000,60,18.99,150000,20.11,722,2,34.7,0,20,0,0.469350495,0.45,35000,7392.270291,E,2015,0
12000,36,11.99,95000,11.43,692,5,40.7,0,8,1,0.13332619,0.45,12000,719.9614277,C,2015,0
11775,36,14.48,42720,17.61,662,3,71.1,0,12,0,0.235732288,0.45,11775,1249.086461,C,2015,0
16000,36,5.32,115000,12.26,812,1,0.7,0,16,0,0.031765692,0.45,16000,228.7129826,A,2015,0
8000,36,7.89,47000,10.37,702,8,13.2,7,12,0,0.085822632,0.45,8000,308.9614758,A,2015,0
10000,36,9.76,26000,11.54,692,8,17.7,1,14,0,0.118760754,0.45,10000,534.4233908,B,2015,0
3000,36,12.88,69922,38.86,687,0,26.4,9,21,0,0.272022419,0.45,3000,367.2302654,C,2015,1
15000,36,10.99,50000,28.42,662,5,47.8,0,14,0,0.202225232,0.45,15000,1365.020313,B,2015,1
13200,60,13.67,30000,31.6,707,10,66.9,1,3,0,0.297793711,0.45,13200,1768.894645,C,2015,1
15000,36,6.89,65000,8.99,747,3,28.8,0,9,0,0.051741679,0.45,15000,349.2563366,A,2015,0
15000,36,5.32,65000,11.28,777,4,36,0,8,0,0.033997733,0.45,15000,229.4846945,A,2015,0
20000,36,6.24,99296,18.95,682,10,68.8,1,11,0,0.078393455,0.45,20000,705.5410949,A,2015,0
19200,60,18.49,56000,28,697,10,41.4,0,17,0,0.506688832,0.45,19200,4377.791508,D,2015,0
15600,60,15.41,55000,19.27,662,4,37.2,0,9,0,0.425781778,0.45,15600,2988.988081,D,2015,0
12000,60,12.05,32000,2.78,727,2,7.6,1,7,0,0.190175813,0.45,12000,1026.949388,C,2015,0
5000,36,12.59,65000,1.99,667,10,46.3,0,4,3,0.132546811,0.45,5000,298.2303249,C,2015,0
15000,36,6.24,58888,17.02,702,3,43.5,0,11,0,0.074962469,0.45,15000,505.9966654,A,2015,0
30000,60,16.55,72000,38.17,677,5,71.3,0,13,0,0.512805663,0.45,30000,6922.876452,D,2015,0
6400,36,14.48,92500,30.98,662,9,59.5,0,27,1,0.301137136,0.45,6400,867.2749517,C,2015,0
12475,36,14.48,48956,37.31,712,6,47.1,0,12,1,0.232183267,0.45,12475,1303.418813,C,2015,0
25000,60,13.18,120000,21.07,662,4,56.4,1,12,0,0.358377373,0.45,25000,4031.745447,C,2015,0
8400,36,9.76,58000,19.62,687,10,74.1,0,13,0,0.115586125,0.45,8400,436.9155528,B,2015,0
30000,36,14.48,100000,16.39,682,10,96.8,1,9,0,0.182927995,0.45,30000,2469.527938,C,2015,0
17675,60,22.99,52000,34.32,662,8,78,0,8,0,0.690465911,0.45,17675,5491.793238,F,2015,1
16000,36,13.18,76000,17.81,692,0,42.1,0,10,0,0.181184793,0.45,16000,1304.530512,C,2015,0
25000,60,14.48,74000,34.37,692,10,81.2,0,14,0,0.382413166,0.45,25000,4302.148114,C,2015,1
6000,36,13.44,35000,16.74,677,6,75.8,0,6,0,0.171630714,0.45,6000,463.4029279,C,2015,0
18250,36,13.18,36500,16.44,702,3,89.8,0,9,0,0.150090438,0.45,18250,1232.617722,C,2015,1
10400,60,11.22,70000,12.86,732,2,21.3,0,12,0,0.192816881,0.45,10400,902.3830051,B,2015,0
30000,60,12.59,90000,21.88,702,10,97.2,0,6,0,0.239737314,0.45,30000,3236.453736,C,2015,0
10000,60,15.41,87500,25.89,697,1,44.9,0,10,0,0.381971766,0.45,10000,1718.872946,D,2015,0
25000,60,16.99,85000,6.25,667,10,81,1,10,2,0.377473546,0.45,25000,4246.577395,D,2015,1
15000,36,12.59,43000,13.71,667,10,63.6,0,13,3,0.174454174,0.45,15000,1177.565674,C,2015,0
4200,36,10.64,37440,11.76,672,0,39.6,0,4,2,0.133181114,0.45,4200,251.7123054,B,2015,0
15000,36,9.8,79500,34.23,707,10,46.3,0,8,0,0.128039328,0.45,15000,864.2654646,B,2015,0
29525,60,27.31,97600,3.84,662,5,60.5,1,11,0,0.723531919,0.45,29525,9613.025961,G,2015,0
7000,36,7.89,116000,17.73,687,10,64.5,7,9,0,0.08575045,0.45,7000,270.1139185,A,2015,0
21000,36,10.64,110000,9.03,672,6,42.5,1,13,0,0.134813679,0.45,21000,1273.989264,B,2015,0
20000,60,12.88,72000,23.82,707,0,62.8,0,11,0,0.289134726,0.45,20000,2602.212538,C,2015,0
12000,36,6.89,69439,19.12,712,10,51.8,0,8,1,0.068201238,0.45,12000,368.2866832,A,2015,0
16000,60,13.67,149512,16.46,667,10,72.1,0,9,1,0.30359476,0.45,16000,2185.882269,C,2015,1
10000,36,11.22,75000,5.55,662,3,44.8,0,12,0,0.145284517,0.45,10000,653.780326,B,2015,0
24000,60,21.99,104000,12.89,662,10,38.9,0,24,1,0.638477524,0.45,24000,6895.557255,F,2015,1
10000,36,7.26,83000,11.19,737,10,89.4,0,11,0,0.048724898,0.45,10000,219.26204,A,2015,0
10000,36,18.2,85000,24.5,687,10,42.7,0,11,0,0.30749596,0.45,10000,1383.731819,E,2015,0
16075,36,15.41,36000,29.67,662,4,70.9,1,11,0,0.300355282,0.45,16075,2172.69502,D,2015,1
4000,36,8.38,175000,10.51,752,10,37.3,0,16,0,0.05469719,0.45,4000,98.45494166,B,2015,0
14500,36,5.32,88000,4.5,727,1,18.3,0,11,0,0.048190462,0.45,14500,314.4427622,A,2015,0
35000,60,9.76,187000,26.41,702,9,66,0,22,0,0.229823194,0.45,35000,3619.715303,B,2015,0
24000,36,13.67,130000,15,682,9,62,1,10,1,0.173497654,0.45,24000,1873.77466,C,2015,0
10000,36,9.76,51000,7.22,707,3,62.4,0,7,0,0.085261632,0.45,10000,383.6773428,B,2015,0
6000,36,16.99,130688,8.65,667,4,29.5,1,14,1,0.267611428,0.45,6000,722.5508552,D,2015,0
2000,36,13.18,50000,9.17,667,0,4.1,2,7,1,0.193082021,0.45,2000,173.7738188,C,2015,0
5000,36,11.22,59000,28.15,707,1,50.8,0,14,0,0.153151985,0.45,5000,344.5919662,B,2015,0
35000,60,18.99,220000,12.26,682,2,77.9,0,14,0,0.453443308,0.45,35000,7141.732104,E,2015,0
16000,36,6.24,113000,26.64,702,3,63.9,0,23,0,0.092331859,0.45,16000,664.7893837,A,2015,0
32325,36,17.86,77000,23.27,687,6,99.2,0,8,0,0.281880273,0.45,32325,4100.30092,D,2015,0
7525,36,9.17,60000,37.26,692,8,26.7,0,19,0,0.162997862,0.45,7525,551.9515096,B,2015,1
30000,36,6.89,100000,27.37,727,10,43.5,0,16,0,0.081379708,0.45,30000,1098.626059,A,2015,0
13500,36,7.26,49920,15.67,697,0,66,0,14,1,0.086607255,0.45,13500,526.1390732,A,2015,0
15000,36,13.67,80000,17.84,667,10,43.7,0,10,0,0.205190931,0.45,15000,1385.038783,C,2015,0
12000,60,13.18,39000,31.42,707,4,19.4,1,12,0,0.34420145,0.45,12000,1858.687832,C,2015,0
20000,36,9.76,100000,20.16,702,10,79.8,0,17,0,0.109465321,0.45,20000,985.1878924,B,2015,0
28000,36,5.32,220000,9.22,747,10,17.9,0,17,0,0.042424208,0.45,28000,534.5450264,A,2015,0
5600,36,10.64,55000,20.82,737,10,10.2,0,10,0,0.102419901,0.45,5600,258.0981516,B,2015,0
6000,36,17.57,75000,14.4,667,5,25.2,2,15,0,0.31617474,0.45,6000,853.6717992,D,2015,0
15000,60,11.49,60000,30.36,702,5,44.2,0,23,0,0.313085464,0.45,15000,2113.326881,B,2015,0
8000,36,11.22,120000,16.11,692,4,45.4,0,16,0,0.138784157,0.45,8000,499.6229649,B,2015,0
6000,36,9.76,42000,13,677,5,41.9,0,12,1,0.124288676,0.45,6000,335.5794258,B,2015,0
4800,36,9.99,48000,17.58,672,6,70.6,0,13,1,0.131949303,0.45,4800,285.0104949,B,2015,1
4800,36,7.89,65000,31.35,682,10,41.9,0,18,1,0.128763421,0.45,4800,278.1289892,A,2015,1
21000,36,5.32,70000,17.14,782,10,48.1,0,13,0,0.03588629,0.45,21000,339.1254438,A,2015,0
12000,36,9.17,62000,19.16,677,7,26.7,0,12,2,0.130336757,0.45,12000,703.8184853,B,2015,0
7500,36,11.99,111000,14.09,677,2,73.9,0,9,0,0.144189763,0.45,7500,486.6404486,C,2015,1
6000,36,12.59,20400,7.88,697,2,48.5,0,5,0,0.131599576,0.45,6000,355.3188542,C,2015,0
5500,36,15.41,50000,12.53,687,10,19.9,5,13,0,0.218737968,0.45,5500,541.3764711,D,2015,1
2800,36,6.24,48000,24.4,742,2,34.8,0,20,1,0.069885081,0.45,2800,88.05520237,A,2015,0
2875,36,7.26,35000,5.8,742,10,11.1,0,15,0,0.055113441,0.45,2875,71.30301412,A,2015,0
12600,36,16.99,35000,3.7,672,0,79.9,0,5,0,0.224364013,0.45,12600,1272.143952,D,2015,0
10000,36,11.49,50000,25.32,677,10,65.2,0,7,0,0.157747202,0.45,10000,709.8624076,B,2015,0
6000,36,9.76,25000,16.47,662,10,61.3,0,6,1,0.126150538,0.45,6000,340.6064529,B,2015,0
17800,60,20.99,80000,28.76,662,4,109.9,0,13,0,0.609309714,0.45,17800,4880.570811,E,2015,1
11450,36,12.05,165000,20.31,667,2,58,1,19,0,0.190697332,0.45,11450,982.568002,C,2015,0
10000,36,8.49,169000,10.14,667,2,51.4,0,10,1,0.100351471,0.45,10000,451.5816211,B,2015,0
7000,36,10.64,31000,14.19,687,10,37.3,0,11,0,0.126813691,0.45,7000,399.4631259,B,2015,0
14725,60,17.86,60000,22.24,712,10,72.1,0,13,0,0.39670765,0.45,14725,2628.684064,D,2015,0
32000,60,15.77,124000,24.82,677,4,52.3,0,32,0,0.496404641,0.45,32000,7148.226837,D,2015,0
18000,36,13.67,61900,10.83,677,0,94.2,0,6,0,0.166064915,0.45,18000,1345.125808,C,2015,0
10000,36,11.48,50000,26.07,687,0,65.2,0,8,0,0.163155508,0.45,10000,734.1997865,B,2015,0
24000,60,13.67,72000,26.15,707,10,54.7,1,27,0,0.352066827,0.45,24000,3802.321731,C,2015,0
13100,60,17.57,52000,31.83,677,9,52,0,14,1,0.513058977,0.45,13100,3024.482668,D,2015,1
26500,60,17.57,53000,6.61,717,3,80.4,0,5,0,0.315716766,0.45,26500,3764.922431,D,2015,0
